fmin,alg,runtime,niterations,converged,startguess
147.54396517090146,Optim_IPNewton,3.0339930057525635,49,true,1
149.51883868390732,Optim_IPNewton,7.91800594329834,56,true,2
138.22389655207388,Optim_IPNewton,5.534418106079102,54,true,3
149.58782928189154,Optim_IPNewton,7.154356002807617,40,true,4
149.58782928175995,Optim_IPNewton,7.075976848602295,52,true,5
149.587829281872,Optim_IPNewton,5.669668912887573,40,true,6
147.54396517102398,Optim_IPNewton,4.392096042633057,56,true,7
237.36129798858664,Optim_IPNewton,2.7388529777526855,29,true,8
147.54396517090169,Optim_IPNewton,3.397413969039917,52,true,9
149.58782928158024,Optim_IPNewton,7.35730504989624,59,true,10
149.58782928481065,Optim_IPNewton,4.367246150970459,35,true,11
145.7594218936937,Optim_IPNewton,2.6451988220214844,55,true,12
149.51883868392912,Optim_IPNewton,7.699457883834839,55,true,13
149.51883868395217,Optim_IPNewton,7.040158033370972,49,true,14
147.5439651709015,Optim_IPNewton,4.1651599407196045,53,true,15
147.54396517090223,Optim_IPNewton,4.172497034072876,60,true,16
171.13407709215383,Optim_IPNewton,5.373266935348511,53,true,17
147.54396517090487,Optim_IPNewton,3.176801919937134,49,true,18
164.42567076528243,Optim_IPNewton,4.411841154098511,32,true,19
147.54396517090316,Optim_IPNewton,3.830620050430298,48,true,20
149.58782928227782,Optim_IPNewton,5.153933048248291,34,true,21
147.54396517606432,Optim_IPNewton,3.053144931793213,47,true,22
147.54396517090245,Optim_IPNewton,5.435292959213257,62,true,23
171.13407709147737,Optim_IPNewton,6.032181024551392,67,true,24
171.13407709153827,Optim_IPNewton,49.83575391769409,234,true,25
145.75941183951184,Optim_IPNewton,2.56112003326416,37,true,26
145.75943587451675,Optim_IPNewton,2.3193960189819336,35,true,27
147.54396517100716,Optim_IPNewton,5.97419285774231,63,true,28
149.5188386843268,Optim_IPNewton,5.568282127380371,41,true,29
147.5439651709031,Optim_IPNewton,3.48410701751709,54,true,30
138.2219760044403,Optim_IPNewton,5.601984977722168,48,true,31
149.51883868391158,Optim_IPNewton,5.995014190673828,41,true,32
171.13407709148208,Optim_IPNewton,5.213742971420288,55,true,33
171.1340770917557,Optim_IPNewton,26.84560203552246,127,true,34
147.54396517103544,Optim_IPNewton,10.08451223373413,91,true,35
171.1340770945674,Optim_IPNewton,3.7601420879364014,36,true,36
149.58782928252742,Optim_IPNewton,10.328294038772583,49,true,37
147.5439651755425,Optim_IPNewton,7.34536600112915,65,true,38
149.51883868393753,Optim_IPNewton,6.697857856750488,58,true,39
145.7594610683371,Optim_IPNewton,3.2790110111236572,57,true,40
147.5439651709027,Optim_IPNewton,2.998354196548462,39,true,41
149.5878292818615,Optim_IPNewton,5.708875894546509,47,true,42
147.54396517090152,Optim_IPNewton,3.1136159896850586,39,true,43
189.4830728969518,Optim_IPNewton,3.3257179260253906,44,true,44
147.54396517090163,Optim_IPNewton,4.44184684753418,55,true,45
213.7362562103542,Optim_IPNewton,23.998726844787598,123,true,46
171.13407709147177,Optim_IPNewton,4.483880043029785,57,true,47
147.54396517090126,Optim_IPNewton,4.0141379833221436,42,true,48
147.5439651710042,Optim_IPNewton,2.46382212638855,31,true,49
158.80983817226104,Optim_IPNewton,5.3228840827941895,42,true,50
149.5188386839039,Optim_IPNewton,9.570511102676392,67,true,51
147.54396522518283,Optim_IPNewton,3.7443618774414062,48,true,52
149.51883868458782,Optim_IPNewton,5.067155122756958,51,true,53
147.5439651779281,Optim_IPNewton,4.37785005569458,60,true,54
147.54396572179314,Optim_IPNewton,4.232901096343994,53,true,55
147.54396517816528,Optim_IPNewton,2.2896649837493896,32,true,56
213.91375924538426,Optim_IPNewton,6.332288026809692,52,true,57
149.5188386839123,Optim_IPNewton,10.68664288520813,70,true,58
149.58782928186167,Optim_IPNewton,7.593886852264404,55,true,59
149.5188386839258,Optim_IPNewton,7.5390260219573975,45,true,60
149.51883868427055,Optim_IPNewton,13.64087700843811,102,true,61
185.68457036168388,Optim_IPNewton,3.108258008956909,39,true,62
145.76118722953393,Optim_IPNewton,3.674639940261841,60,true,63
158.80983821886198,Optim_IPNewton,4.843670129776001,47,true,64
147.5439651709859,Optim_IPNewton,10.197760820388794,53,true,65
138.22197600494002,Optim_IPNewton,4.424170970916748,51,true,66
171.13407709147816,Optim_IPNewton,5.454981088638306,47,true,67
149.58782928185022,Optim_IPNewton,8.033958911895752,50,true,68
147.5439651727069,Optim_IPNewton,2.719481945037842,39,true,69
147.54396517299227,Optim_IPNewton,2.888947010040283,40,true,70
147.5439651709945,Optim_IPNewton,4.372162103652954,47,true,71
177.0739613340153,Optim_IPNewton,4.064319133758545,33,true,72
156.34085801446668,Optim_IPNewton,4.921705961227417,50,true,73
149.5188386839265,Optim_IPNewton,9.733705043792725,80,true,74
145.75943551007194,Optim_IPNewton,3.4964139461517334,48,true,75
149.5188386842168,Optim_IPNewton,5.297770023345947,37,true,76
149.5188386839359,Optim_IPNewton,10.658617973327637,68,true,77
147.54396543347622,Optim_IPNewton,4.314435958862305,56,true,78
149.5878292853646,Optim_IPNewton,7.98337984085083,50,true,79
149.58782928188188,Optim_IPNewton,7.590993881225586,43,true,80
149.51883868393531,Optim_IPNewton,10.20789098739624,57,true,81
147.54396517090228,Optim_IPNewton,4.523687124252319,57,true,82
138.22197600287586,Optim_IPNewton,7.220123052597046,55,true,83
147.5439651709032,Optim_IPNewton,4.267452001571655,56,true,84
149.58782928831135,Optim_IPNewton,9.259882926940918,53,true,85
149.58782928233006,Optim_IPNewton,5.5762858390808105,44,true,86
147.54396517092286,Optim_IPNewton,3.0773839950561523,51,true,87
214.05783433237517,Optim_IPNewton,3.2509570121765137,34,true,88
147.54396517102438,Optim_IPNewton,22.31736993789673,80,true,89
149.5188386839311,Optim_IPNewton,24.01243281364441,56,true,90
138.22285768665242,Optim_IPNewton,3.2912349700927734,39,true,91
145.76408553239477,Optim_IPNewton,2.4851200580596924,58,true,92
145.75941183916098,Optim_IPNewton,3.5759429931640625,61,true,93
147.54396570435838,Optim_IPNewton,2.7440199851989746,39,true,94
138.22197600402953,Optim_IPNewton,4.998754024505615,71,true,95
138.22563106542535,Optim_IPNewton,3.785756826400757,55,true,96
138.22197600389697,Optim_IPNewton,5.690351963043213,59,true,97
147.54396517555122,Optim_IPNewton,8.05485200881958,64,true,98
149.51883868392073,Optim_IPNewton,5.817626953125,62,true,99
171.1340770914619,Optim_IPNewton,3.947924852371216,45,true,100
